,Models,R Squared,Adjusted R Squared,Demo Predictions
0,Linear Regression (Sklearn),0.8120958306196512,0.8117796388094655,2.1959917933506414
1,Linear Regression (Statsmodels),0.8120958306196513,0.8117796388094656,2.1959917933506294
2,Polynomial Regression,0.9047486810053524,0.9045883988409129,3.4863574488660802
3,Support Vector Regression,0.9338687780265403,0.9337574970961888,0.9113122644156436
4,Decision Tree Regression,0.8292337276688145,0.8289463742963741,1.9195
5,Random Forrest Regression,0.923330940574239,0.9232019273183597,1.3741570000000005
6,Gradient Boosting Regression,0.8690723044372245,0.8688519885964427,1.688247799873352
